ID,nuevos,activos,total,fecha
1,1,1,1,02-03-20
2,0,1,1,03-03-20
3,2,3,3,04-03-20
4,1,4,4,05-03-20
5,1,5,5,06-03-20
6,2,7,7,07-03-20
7,3,10,10,08-03-20
8,5,15,15,09-03-20
9,2,17,17,10-03-20
10,6,23,23,11-03-20
11,10,33,33,12-03-20
12,10,43,43,13-03-20
13,18,61,61,14-03-20
14,14,75,75,15-03-20
15,81,156,156,16-03-20
16,45,200,201,17-03-20
17,37,235,238,18-03-20
18,104,338,342,19-03-20
19,92,429,434,20-03-20
20,103,531,537,21-03-20
21,95,623,632,22-03-20
22,114,734,746,23-03-20
23,176,903,922,24-03-20
24,220,"1,117","1,142",25-03-20
25,164,"1,269","1,306",26-03-20
26,304,"1,562","1,610",27-03-20
27,299,"1,842","1,909",28-03-20
28,230,"2,057","2,139",29-03-20
29,310,"2,285","2,449",30-03-20
30,289,"2,525","2,738",31-03-20
31,293,"2,781","3,031",01-04-20
32,373,"3,051","3,404",02-04-20
33,333,"3,288","3,737",03-04-20
34,424,"3,606","4,161",04-04-20
35,310,"3,820","4,471",05-04-20
36,344,"4,050","4,815",06-04-20
37,301,"4,175","5,116",07-04-20
38,430,"4,383","5,546",08-04-20
39,426,"4,641","5,972",09-04-20
40,529,"4,865","6,501",10-04-20
41,426,"4,990","6,927",11-04-20
42,286,"5,074","7,213",12-04-20
43,312,"5,076","7,525",13-04-20
44,392,"5,179","7,917",14-04-20
45,356,"5,242","8,273",15-04-20
46,534,"5,403","8,807",16-04-20
47,445,"5,515","9,252",17-04-20
48,478,"5,569","9,730",18-04-20
49,358,"5,617","10,088",19-04-20
50,419,"5,692","10,507",20-04-20
51,325,"5,716","10,832",21-04-20
52,464,"5,750","11,296",22-04-20
53,516,"5,840","11,812",23-04-20
54,494,"5,805","12,306",24-04-20
55,552,"5,931","12,858",25-04-20
56,473,"6,118","13,331",26-04-20
57,482,"6,288","13,813",27-04-20
58,552,"6,448","14,365",28-04-20
59,770,"6,862","15,135",29-04-20
60,888,"7,216","16,023",30-04-20
61,985,"7,756","17,008",01-05-20
62,"1,427","8,616","18,435",02-05-20
63,"1,228","9,362","19,663",03-05-20
64,980,"9,958","20,643",04-05-20
65,"1,373","11,031","22,016",05-05-20
66,"1,032","11,578","23,048",06-05-20
67,"1,533","12,632","24,581",07-05-20
68,"1,391","13,518","25,972",08-05-20
69,"1,247","14,248","27,219",09-05-20
70,"1,647","15,442","28,866",10-05-20
71,"1,197","16,135","30,063",11-05-20
72,"1,658","17,261","31,721",12-05-20
73,"2,660","19,170","34,381",13-05-20
74,"2,659","21,017","37,040",14-05-20
75,"2,502","22,534","39,542",15-05-20
76,"1,886","22,993","41,428",16-05-20
77,"2,353","24,118","43,781",17-05-20
78,"2,278","25,416","46,059",18-05-20
79,"3,520","27,563","49,579",19-05-20
80,"4,038","30,569","53,617",20-05-20
81,"3,964","33,000","57,581",21-05-20
82,"4,276","35,885","61,857",22-05-20
83,"3,536","38,174","65,393",23-05-20
84,"3,709","40,236","69,102",24-05-20
85,"4,895","43,934","73,997",25-05-20
86,"3,964","46,240","77,961",26-05-20
87,"4,328","47,908","82,289",27-05-20
88,"4,654","49,938","86,943",28-05-20
89,"3,695","51,096","90,638",29-05-20
90,"4,220","53,430","94,858",30-05-20
91,"4,830","55,907","99,688",31-05-20
92,"5,471","59,100","105,159",01-06-20
93,"3,527",Sin Registro,"108,686",02-06-20
94,"4,942",Sin Registro,"113,628",03-06-20
95,"4,664",Sin Registro,"118,292",04-06-20
96,"4,207",Sin Registro,"122,499",05-06-20
97,"5,246",Sin Registro,"127,745",06-06-20
98,"6,405",Sin Registro,"134,150",07-06-20
99,"4,696",Sin Registro,"138,846",08-06-20
100,"3,913",Sin Registro,"142,759",09-06-20
101,"5,737",Sin Registro,"148,496",10-06-20
102,"5,596",Sin Registro,"154,092",11-06-20
103,"6,754",Sin Registro,"160,846",12-06-20
104,"6,509",Sin Registro,"167,355",13-06-20
105,"6,938",Sin Registro,"174,293",14-06-20
106,"5,143",Sin Registro,"179,436",15-06-20
107,"5,013",Sin Registro,"184,449",16-06-20
108,"4,757",Sin Registro,"220,628",17-06-20
109,"4,475",Sin Registro,"225,103",18-06-20
110,"6,290",Sin Registro,"231,393",19-06-20
111,"5,355",Sin Registro,"236,748",20-06-20
112,"5,607","37,307","242,355",21-06-20
113,"4,608","37,064","246,963",22-06-20
114,"3,804","35,692","250,767",23-06-20
115,"3,649","34,592","254,416",24-06-20
116,"4,648","34,834","259,064",25-06-20
117,"4,296","34,861","263,360",26-06-20
118,"4,406","34,364","267,766",27-06-20
119,"4,216","34,263","271,982",28-06-20
120,"4,017","34,270","275,999",29-06-20
